"Mach","Pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.17689,8.9525e+05,1,0,0,0,0
0.17691,8.9525e+05,1,0.00012294,0.00012294,0,0
0.17693,8.9525e+05,1,0.00024587,0.00024587,0,0
0.17695,8.9525e+05,1,0.00036881,0.00036881,0,0
0.17697,8.9525e+05,1,0.00049175,0.00049175,0,0
0.17699,8.9525e+05,1,0.00061468,0.00061468,0,0
0.17701,8.9524e+05,1,0.00073762,0.00073762,0,0
0.17703,8.9524e+05,1,0.00086056,0.00086056,0,0
0.17705,8.9524e+05,1,0.00098349,0.00098349,0,0
0.17707,8.9524e+05,1,0.0011064,0.0011064,0,0
0.17709,8.9524e+05,1,0.0012294,0.0012294,0,0
0.17711,8.9524e+05,1,0.0013523,0.0013523,0,0
0.17713,8.9524e+05,1,0.0014752,0.0014752,0,0
0.17715,8.9524e+05,1,0.0015982,0.0015982,0,0
0.17717,8.9524e+05,1,0.0017211,0.0017211,0,0
0.17719,8.9523e+05,1,0.0018441,0.0018441,0,0
0.17721,8.9523e+05,1,0.001967,0.001967,0,0
0.17724,8.9523e+05,1,0.0020899,0.0020899,0,0
0.17727,8.9522e+05,1,0.0022129,0.0022129,0,0
0.17731,8.9522e+05,1,0.0023358,0.0023358,0,0
0.17734,8.9521e+05,1,0.0024587,0.0024587,0,0
0.17737,8.9521e+05,1,0.0025817,0.0025817,0,0
0.17741,8.9521e+05,1,0.0027046,0.0027046,0,0
0.17744,8.952e+05,1,0.0028275,0.0028275,0,0
0.17748,8.952e+05,1,0.0029505,0.0029505,0,0
0.17752,8.9519e+05,1,0.0030734,0.0030734,0,0
0.17756,8.9518e+05,1,0.0031964,0.0031964,0,0
0.1776,8.9518e+05,1,0.0033193,0.0033193,0,0
0.17765,8.9517e+05,1,0.0034422,0.0034422,0,0
0.17769,8.9517e+05,1,0.0035652,0.0035652,0,0
0.17774,8.9516e+05,1,0.0036881,0.0036881,0,0
0.17778,8.9516e+05,1,0.003811,0.003811,0,0
0.17782,8.9515e+05,1,0.003934,0.003934,0,0
0.17788,8.9515e+05,1,0.0040569,0.0040569,0,0
0.17793,8.9514e+05,1,0.0041799,0.0041799,0,0
0.17799,8.9514e+05,1,0.0043028,0.0043028,0,0
0.17805,8.9513e+05,1,0.0044257,0.0044257,0,0
0.1781,8.9512e+05,1,0.0045487,0.0045487,0,0
0.17816,8.9512e+05,1,0.0046716,0.0046716,0,0
0.17822,8.9511e+05,1,0.0047945,0.0047945,0,0
0.17828,8.9511e+05,1,0.0049175,0.0049175,0,0
0.17834,8.951e+05,1,0.0050404,0.0050404,0,0
0.17841,8.9509e+05,1,0.0051633,0.0051633,0,0
0.17847,8.9508e+05,1,0.0052863,0.0052863,0,0
0.17854,8.9508e+05,1,0.0054092,0.0054092,0,0
0.17861,8.9507e+05,1,0.0055322,0.0055322,0,0
0.17867,8.9506e+05,1,0.0056551,0.0056551,0,0
0.17874,8.9506e+05,1,0.005778,0.005778,0,0
0.17881,8.9505e+05,1,0.005901,0.005901,0,0
0.17888,8.9504e+05,1,0.0060239,0.0060239,0,0
0.17896,8.9503e+05,1,0.0061468,0.0061468,0,0
0.17904,8.9502e+05,1,0.0062698,0.0062698,0,0
0.17912,8.9501e+05,1,0.0063927,0.0063927,0,0
0.1792,8.95e+05,1,0.0065157,0.0065157,0,0
0.17928,8.9499e+05,1,0.0066386,0.0066386,0,0
0.17936,8.9498e+05,1,0.0067615,0.0067615,0,0
0.17944,8.9497e+05,1,0.0068845,0.0068845,0,0
0.17952,8.9496e+05,1,0.0070074,0.0070074,0,0
0.17961,8.9496e+05,1,0.0071303,0.0071303,0,0
0.1797,8.9495e+05,1,0.0072533,0.0072533,0,0
0.17979,8.9494e+05,1,0.0073762,0.0073762,0,0
0.17988,8.9493e+05,1,0.0074991,0.0074991,0,0
0.17997,8.9492e+05,1,0.0076221,0.0076221,0,0
0.18006,8.9491e+05,1,0.007745,0.007745,0,0
0.18014,8.949e+05,1,0.007868,0.007868,0,0
0.18024,8.9489e+05,1,0.0079909,0.0079909,0,0
0.18034,8.9488e+05,1,0.0081138,0.0081138,0,0
0.18044,8.9487e+05,1,0.0082368,0.0082368,0,0
0.18054,8.9486e+05,1,0.0083597,0.0083597,0,0
0.18064,8.9484e+05,1,0.0084826,0.0084826,0,0
0.18075,8.9483e+05,1,0.0086056,0.0086056,0,0
0.18085,8.9482e+05,1,0.0087285,0.0087285,0,0
0.18095,8.9481e+05,1,0.0088514,0.0088514,0,0
0.18105,8.948e+05,1,0.0089744,0.0089744,0,0
0.18117,8.9479e+05,1,0.0090973,0.0090973,0,0
0.18128,8.9478e+05,1,0.0092203,0.0092203,0,0
0.18139,8.9476e+05,1,0.0093432,0.0093432,0,0
0.18151,8.9475e+05,1,0.0094661,0.0094661,0,0
0.18162,8.9474e+05,1,0.0095891,0.0095891,0,0
0.18173,8.9473e+05,1,0.009712,0.009712,0,0
0.18184,8.9472e+05,1,0.0098349,0.0098349,0,0
0.18196,8.9471e+05,1,0.0099579,0.0099579,0,0
0.18209,8.947e+05,1,0.010081,0.010081,0,0
0.18222,8.9468e+05,1,0.010204,0.010204,0,0
0.18235,8.9467e+05,1,0.010327,0.010327,0,0
0.18248,8.9466e+05,1,0.01045,0.01045,0,0
0.1826,8.9465e+05,1,0.010573,0.010573,0,0
0.18273,8.9463e+05,1,0.010696,0.010696,0,0
0.18286,8.9462e+05,1,0.010818,0.010818,0,0
0.18299,8.946e+05,1,0.010941,0.010941,0,0
0.18314,8.9459e+05,1,0.011064,0.011064,0,0
0.18328,8.9457e+05,1,0.011187,0.011187,0,0
0.18342,8.9455e+05,1,0.01131,0.01131,0,0
0.18357,8.9453e+05,1,0.011433,0.011433,0,0
0.18371,8.9451e+05,1,0.011556,0.011556,0,0
0.18386,8.945e+05,1,0.011679,0.011679,0,0
0.184,8.9448e+05,1,0.011802,0.011802,0,0
0.18415,8.9446e+05,1,0.011925,0.011925,0,0
0.18431,8.9444e+05,1,0.012048,0.012048,0,0
0.18447,8.9443e+05,1,0.012171,0.012171,0,0
0.18463,8.9441e+05,1,0.012294,0.012294,0,0
0.18479,8.944e+05,1,0.012417,0.012417,0,0
0.18495,8.9438e+05,1,0.01254,0.01254,0,0
0.18511,8.9436e+05,1,0.012662,0.012662,0,0
0.18527,8.9435e+05,1,0.012785,0.012785,0,0
0.18544,8.9433e+05,1,0.012908,0.012908,0,0
0.18561,8.9431e+05,1,0.013031,0.013031,0,0
0.18578,8.9429e+05,1,0.013154,0.013154,0,0
0.18596,8.9427e+05,1,0.013277,0.013277,0,0
0.18613,8.9425e+05,1,0.0134,0.0134,0,0
0.1863,8.9423e+05,1,0.013523,0.013523,0,0
0.18648,8.9421e+05,1,0.013646,0.013646,0,0
0.18665,8.9418e+05,1,0.013769,0.013769,0,0
0.18683,8.9416e+05,1,0.013892,0.013892,0,0
0.18702,8.9414e+05,1,0.014015,0.014015,0,0
0.1872,8.9412e+05,1,0.014138,0.014138,0,0
0.18739,8.9411e+05,1,0.014261,0.014261,0,0
0.18758,8.9409e+05,1,0.014384,0.014384,0,0
0.18777,8.9407e+05,1,0.014507,0.014507,0,0
0.18796,8.9405e+05,1,0.014629,0.014629,0,0
0.18815,8.9403e+05,1,0.014752,0.014752,0,0
0.18834,8.9401e+05,1,0.014875,0.014875,0,0
0.18854,8.9399e+05,1,0.014998,0.014998,0,0
0.18874,8.9397e+05,1,0.015121,0.015121,0,0
0.18895,8.9395e+05,1,0.015244,0.015244,0,0
0.18915,8.9393e+05,1,0.015367,0.015367,0,0
0.18935,8.9391e+05,1,0.01549,0.01549,0,0
0.18955,8.9389e+05,1,0.015613,0.015613,0,0
0.18975,8.9387e+05,1,0.015736,0.015736,0,0
0.18996,8.9385e+05,1,0.015859,0.015859,0,0
0.19017,8.9383e+05,1,0.015982,0.015982,0,0
0.19039,8.938e+05,1,0.016105,0.016105,0,0
0.19061,8.9378e+05,1,0.016228,0.016228,0,0
0.19082,8.9376e+05,1,0.016351,0.016351,0,0
0.19104,8.9374e+05,1,0.016474,0.016474,0,0
0.19126,8.9371e+05,1,0.016596,0.016596,0,0
0.19147,8.9369e+05,1,0.016719,0.016719,0,0
0.19169,8.9367e+05,1,0.016842,0.016842,0,0
0.19192,8.9364e+05,1,0.016965,0.016965,0,0
0.19215,8.9361e+05,1,0.017088,0.017088,0,0
0.19238,8.9358e+05,1,0.017211,0.017211,0,0
0.1926,8.9356e+05,1,0.017334,0.017334,0,0
0.19283,8.9353e+05,1,0.017457,0.017457,0,0
0.19306,8.935e+05,1,0.01758,0.01758,0,0
0.19329,8.9347e+05,1,0.017703,0.017703,0,0
0.19352,8.9344e+05,1,0.017826,0.017826,0,0
0.19376,8.9341e+05,1,0.017949,0.017949,0,0
0.19401,8.9339e+05,1,0.018072,0.018072,0,0
0.19426,8.9336e+05,1,0.018195,0.018195,0,0
0.19451,8.9333e+05,1,0.018318,0.018318,0,0
0.19476,8.933e+05,1,0.018441,0.018441,0,0
0.19501,8.9327e+05,1,0.018563,0.018563,0,0
0.19526,8.9325e+05,1,0.018686,0.018686,0,0
0.1955,8.9322e+05,1,0.018809,0.018809,0,0
0.19576,8.9319e+05,1,0.018932,0.018932,0,0
0.19602,8.9316e+05,1,0.019055,0.019055,0,0
0.19628,8.9313e+05,1,0.019178,0.019178,0,0
0.19654,8.931e+05,1,0.019301,0.019301,0,0
0.19679,8.9307e+05,1,0.019424,0.019424,0,0
0.19705,8.9304e+05,1,0.019547,0.019547,0,0
0.19731,8.9301e+05,1,0.01967,0.01967,0,0
0.19757,8.9298e+05,1,0.019793,0.019793,0,0
0.19784,8.9295e+05,1,0.019916,0.019916,0,0
0.19811,8.9291e+05,1,0.020039,0.020039,0,0
0.19839,8.9288e+05,1,0.020162,0.020162,0,0
0.19866,8.9285e+05,1,0.020285,0.020285,0,0
0.19894,8.9282e+05,1,0.020408,0.020408,0,0
0.19921,8.9278e+05,1,0.02053,0.02053,0,0
0.19948,8.9275e+05,1,0.020653,0.020653,0,0
0.19976,8.9272e+05,1,0.020776,0.020776,0,0
0.20005,8.9269e+05,1,0.020899,0.020899,0,0
0.20034,8.9265e+05,1,0.021022,0.021022,0,0
0.20063,8.9262e+05,1,0.021145,0.021145,0,0
0.20092,8.9259e+05,1,0.021268,0.021268,0,0
0.20121,8.9256e+05,1,0.021391,0.021391,0,0
0.20151,8.9252e+05,1,0.021514,0.021514,0,0
0.2018,8.9249e+05,1,0.021637,0.021637,0,0
0.20209,8.9246e+05,1,0.02176,0.02176,0,0
0.20239,8.9242e+05,1,0.021883,0.021883,0,0
0.20271,8.9238e+05,1,0.022006,0.022006,0,0
0.20302,8.9234e+05,1,0.022129,0.022129,0,0
0.20333,8.9231e+05,1,0.022252,0.022252,0,0
0.20364,8.9227e+05,1,0.022374,0.022374,0,0
0.20395,8.9223e+05,1,0.022497,0.022497,0,0
0.20427,8.9219e+05,1,0.02262,0.02262,0,0
0.20458,8.9215e+05,1,0.022743,0.022743,0,0
0.2049,8.9211e+05,1,0.022866,0.022866,0,0
0.20523,8.9207e+05,1,0.022989,0.022989,0,0
0.20557,8.9202e+05,1,0.023112,0.023112,0,0
0.2059,8.9198e+05,1,0.023235,0.023235,0,0
0.20624,8.9193e+05,1,0.023358,0.023358,0,0
0.20657,8.9189e+05,1,0.023481,0.023481,0,0
0.2069,8.9184e+05,1,0.023604,0.023604,0,0
0.20724,8.918e+05,1,0.023727,0.023727,0,0
0.20758,8.9176e+05,1,0.02385,0.02385,0,0
0.20794,8.9172e+05,1,0.023973,0.023973,0,0
0.2083,8.9168e+05,1,0.024096,0.024096,0,0
0.20866,8.9165e+05,1,0.024219,0.024219,0,0
0.20902,8.9161e+05,1,0.024341,0.024341,0,0
0.20938,8.9157e+05,1,0.024464,0.024464,0,0
0.20974,8.9153e+05,1,0.024587,0.024587,0,0
0.2101,8.915e+05,1,0.02471,0.02471,0,0
0.21047,8.9146e+05,1,0.024833,0.024833,0,0
0.21085,8.9141e+05,1,0.024956,0.024956,0,0
0.21123,8.9136e+05,1,0.025079,0.025079,0,0
0.21162,8.9132e+05,1,0.025202,0.025202,0,0
0.212,8.9127e+05,1,0.025325,0.025325,0,0
