,Density,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,entropy,total enthalpt
0,362.57,0.087232,3560.9,-0.33156,0,2932500.0,538.02,1,0.0,-13.88,0,0,871.42167543384,833487583.8592869
1,362.57,0.087238,3561.1,-0.28216,0,2932600.0,538.02,1,0.025662,-13.855,0,0,871.4168042729669,833637160.6044235
2,362.57,0.087245,3561.4,-0.23276,0,2932600.0,538.02,1,0.051325,-13.829,0,0,871.4168042729669,833637160.6044235
3,362.57,0.087251,3561.7,-0.18336,0,2932600.0,538.02,1,0.076987,-13.804,0,0,871.4168042729669,833637160.6044235
4,362.57,0.087258,3562.0,-0.13396,0,2932600.0,538.02,1,0.10265,-13.778,0,0,871.4168042729669,833637160.6044235
5,362.57,0.087264,3562.2,-0.084558,0,2932600.0,538.02,1,0.12831,-13.752,0,0,871.4168042729669,833637160.6044235
6,362.57,0.087271,3562.5,-0.079905,0,2932600.0,538.02,1,0.15397,-13.727,0,0,871.4168042729669,833637160.6044235
7,362.57,0.08728,3562.8,-0.1338,0,2932600.0,538.02,1,0.17964,-13.701,0,0,871.4168042729669,833637160.6044235
8,362.57,0.087288,3563.2,-0.1877,0,2932600.0,538.02,1,0.2053,-13.675,0,0,871.4168042729669,833637160.6044235
9,362.57,0.087297,3563.5,-0.24159,0,2932500.0,538.02,1,0.23096,-13.65,0,0,871.42167543384,833487583.8592869
10,362.57,0.087305,3563.8,-0.29549,0,2932500.0,538.02,1,0.25663,-13.624,0,0,871.42167543384,833487583.8592869
11,362.57,0.087314,3564.2,-0.34939,0,2932500.0,538.02,1,0.28229,-13.598,0,0,871.42167543384,833487583.8592869
12,362.57,0.087324,3564.5,-0.3419,0,2932500.0,538.02,1,0.30795,-13.573,0,0,871.42167543384,833487583.8592869
13,362.57,0.087334,3565.0,-0.32496,0,2932500.0,538.02,1,0.33361,-13.547,0,0,871.42167543384,833487583.8592869
14,362.57,0.087344,3565.4,-0.30802,0,2932500.0,538.02,1,0.35927,-13.521,0,0,871.42167543384,833487583.8592869
15,362.57,0.087355,3565.8,-0.29107,0,2932500.0,538.02,1,0.38494,-13.496,0,0,871.42167543384,833487583.8592869
16,362.57,0.087365,3566.2,-0.27413,0,2932500.0,538.02,1,0.4106,-13.47,0,0,871.42167543384,833487583.8592869
17,362.57,0.087375,3566.6,-0.26298,0,2932500.0,538.02,1,0.43626,-13.444,0,0,871.42167543384,833487583.8592869
18,362.57,0.087386,3567.0,-0.26537,0,2932500.0,538.02,1,0.46192,-13.419,0,0,871.42167543384,833487583.8592869
19,362.57,0.087396,3567.4,-0.26775,0,2932500.0,538.02,1,0.48759,-13.393,0,0,871.42167543384,833487583.8592869
20,362.57,0.087406,3567.8,-0.27014,0,2932500.0,538.02,1,0.51325,-13.367,0,0,871.42167543384,833487583.8592869
21,362.57,0.087417,3568.2,-0.27253,0,2932500.0,538.02,1,0.53891,-13.342,0,0,871.42167543384,833487583.8592869
22,362.57,0.087427,3568.6,-0.27492,0,2932500.0,538.02,1,0.56458,-13.316,0,0,871.42167543384,833487583.8592869
23,362.57,0.08744,3569.1,-0.29025,0,2932500.0,538.02,1,0.59024,-13.29,0,0,871.42167543384,833487583.8592869
24,362.57,0.087454,3569.7,-0.3103,0,2932500.0,538.02,1,0.6159,-13.265,0,0,871.42167543384,833487583.8592869
25,362.57,0.087467,3570.2,-0.33035,0,2932500.0,538.02,1,0.64156,-13.239,0,0,871.42167543384,833487583.8592869
