,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G
0,202.89,75001000.0,1.7,17306,1.0982e-11,0,1499900.0,-1.2776e-14,569.84,1,0.0,0.0,0.25,0,0.7577617356292932
1,202.89,75001000.0,1.7,17306,9.6293e-12,0,1499900.0,-1.2483e-14,569.84,1,0.001,0.001,0.25,0,0.7577617356292932
2,202.89,75001000.0,1.7,17306,8.2767e-12,0,1499900.0,-1.2189e-14,569.84,1,0.002,0.002,0.25,0,0.7577617356292932
3,202.89,75001000.0,1.7,17306,6.9241e-12,0,1499900.0,-1.1896e-14,569.84,1,0.003,0.003,0.25,0,0.7577617356292932
4,202.89,75001000.0,1.7,17306,5.5715e-12,0,1499900.0,-1.1602e-14,569.84,1,0.004,0.004,0.25,0,0.7577617356292932
5,202.89,75001000.0,1.7,17306,4.2189e-12,0,1499900.0,-1.1309e-14,569.84,1,0.005,0.005,0.25,0,0.7577617356292932
6,202.89,75001000.0,1.7,17306,2.8663e-12,0,1499900.0,-1.1016e-14,569.84,1,0.006,0.006,0.25,0,0.7577617356292932
7,202.89,75001000.0,1.7,17306,1.5137e-12,0,1499900.0,-1.0722e-14,569.84,1,0.007,0.007,0.25,0,0.7577617356292932
8,202.89,75001000.0,1.7,17306,1.6111e-13,0,1499900.0,-1.0429e-14,569.84,1,0.008,0.008,0.25,0,0.7577617356292932
9,202.89,75001000.0,1.7,17306,-1.1915e-12,0,1499900.0,-1.0136e-14,569.84,1,0.009,0.009,0.25,0,0.7577617356292932
10,202.89,75001000.0,1.7,17306,-2.5441e-12,0,1499900.0,-9.8421e-15,569.84,1,0.01,0.01,0.25,0,0.7577617356292932
11,202.89,75001000.0,1.7,17306,-3.8967e-12,0,1499900.0,-9.5488e-15,569.84,1,0.011,0.011,0.25,0,0.7577617356292932
12,202.89,75001000.0,1.7,17306,-5.2493e-12,0,1499900.0,-9.2554e-15,569.84,1,0.012,0.012,0.25,0,0.7577617356292932
13,202.89,75001000.0,1.7,17306,-6.6019e-12,0,1499900.0,-8.962e-15,569.84,1,0.013,0.013,0.25,0,0.7577617356292932
14,202.89,75001000.0,1.7,17306,-7.9545e-12,0,1499900.0,-8.6686e-15,569.84,1,0.014,0.014,0.25,0,0.7577617356292932
15,202.89,75001000.0,1.7,17306,-9.3071e-12,0,1499900.0,-8.3752e-15,569.84,1,0.015,0.015,0.25,0,0.7577617356292932
16,202.89,75001000.0,1.7,17306,-1.066e-11,0,1499900.0,-8.0819e-15,569.84,1,0.016,0.016,0.25,0,0.7577617356292932
17,202.89,75001000.0,1.7,17306,-1.1969e-11,0,1499900.0,-7.7904e-15,569.84,1,0.017,0.017,0.25,0,0.7577617356292932
18,202.89,75001000.0,1.7,17306,-1.3196e-11,0,1499900.0,-7.5024e-15,569.84,1,0.018,0.018,0.25,0,0.7577617356292932
