"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
202.89,7.5001e+07,1.7,17306,-1.6375e-11,0,1.4999e+06,-1.877e-14,569.84,1,0,0,0.25,0
202.89,7.5001e+07,1.7,17306,-1.5521e-11,0,1.4999e+06,-1.8459e-14,569.84,1,0.001,0.001,0.25,0
202.89,7.5001e+07,1.7,17306,-1.4667e-11,0,1.4999e+06,-1.8149e-14,569.84,1,0.002,0.002,0.25,0
202.89,7.5001e+07,1.7,17306,-1.3813e-11,0,1.4999e+06,-1.7839e-14,569.84,1,0.003,0.003,0.25,0
202.89,7.5001e+07,1.7,17306,-1.2959e-11,0,1.4999e+06,-1.7528e-14,569.84,1,0.004,0.004,0.25,0
202.89,7.5001e+07,1.7,17306,-1.2105e-11,0,1.4999e+06,-1.7218e-14,569.84,1,0.005,0.005,0.25,0
202.89,7.5001e+07,1.7,17306,-1.1251e-11,0,1.4999e+06,-1.6907e-14,569.84,1,0.006,0.006,0.25,0
202.89,7.5001e+07,1.7,17306,-1.0396e-11,0,1.4999e+06,-1.6597e-14,569.84,1,0.007,0.007,0.25,0
202.89,7.5001e+07,1.7,17306,-9.5425e-12,0,1.4999e+06,-1.6287e-14,569.84,1,0.008,0.008,0.25,0
202.89,7.5001e+07,1.7,17306,-8.6884e-12,0,1.4999e+06,-1.5976e-14,569.84,1,0.009,0.009,0.25,0
202.89,7.5001e+07,1.7,17306,-7.8344e-12,0,1.4999e+06,-1.5666e-14,569.84,1,0.01,0.01,0.25,0
202.89,7.5001e+07,1.7,17306,-6.9804e-12,0,1.4999e+06,-1.5356e-14,569.84,1,0.011,0.011,0.25,0
202.89,7.5001e+07,1.7,17306,-6.1263e-12,0,1.4999e+06,-1.5045e-14,569.84,1,0.012,0.012,0.25,0
202.89,7.5001e+07,1.7,17306,-5.2723e-12,0,1.4999e+06,-1.4735e-14,569.84,1,0.013,0.013,0.25,0
202.89,7.5001e+07,1.7,17306,-4.4183e-12,0,1.4999e+06,-1.4424e-14,569.84,1,0.014,0.014,0.25,0
202.89,7.5001e+07,1.7,17306,-3.5643e-12,0,1.4999e+06,-1.4114e-14,569.84,1,0.015,0.015,0.25,0
202.89,7.5001e+07,1.7,17306,-2.7102e-12,0,1.4999e+06,-1.3804e-14,569.84,1,0.016,0.016,0.25,0
202.89,7.5001e+07,1.7,17306,-1.8851e-12,0,1.4999e+06,-1.3527e-14,569.84,1,0.017,0.017,0.25,0
202.89,7.5001e+07,1.7,17306,-1.1041e-12,0,1.4999e+06,-1.3301e-14,569.84,1,0.018,0.018,0.25,0
202.89,7.5001e+07,1.7,17306,-1.4511e-13,0,1.4999e+06,-1.3267e-14,569.84,1,0.019,0.019,0.25,0
202.89,7.5001e+07,1.7,17306,8.824e-13,0,1.4999e+06,-1.3173e-14,569.84,1,0.02,0.02,0.25,0
202.89,7.5001e+07,1.7,17306,1.9899e-12,0,1.4999e+06,-1.3008e-14,569.84,1,0.021,0.021,0.25,0
202.89,7.5001e+07,1.7,17306,3.0973e-12,0,1.4999e+06,-1.2843e-14,569.84,1,0.022,0.022,0.25,0
202.89,7.5001e+07,1.7,17306,4.2048e-12,0,1.4999e+06,-1.2678e-14,569.84,1,0.023,0.023,0.25,0
202.89,7.5001e+07,1.7,17306,5.3122e-12,0,1.4999e+06,-1.2513e-14,569.84,1,0.024,0.024,0.25,0
202.89,7.5001e+07,1.7,17306,6.4197e-12,0,1.4999e+06,-1.2348e-14,569.84,1,0.025,0.025,0.25,0
202.89,7.5001e+07,1.7,17306,7.5271e-12,0,1.4999e+06,-1.2183e-14,569.84,1,0.026,0.026,0.25,0
202.89,7.5001e+07,1.7,17306,8.6346e-12,0,1.4999e+06,-1.2018e-14,569.84,1,0.027,0.027,0.25,0
202.89,7.5001e+07,1.7,17306,9.742e-12,0,1.4999e+06,-1.1854e-14,569.84,1,0.028,0.028,0.25,0
202.89,7.5001e+07,1.7,17306,1.0849e-11,0,1.4999e+06,-1.1689e-14,569.84,1,0.029,0.029,0.25,0
202.89,7.5001e+07,1.7,17306,1.1957e-11,0,1.4999e+06,-1.1524e-14,569.84,1,0.03,0.03,0.25,0
202.89,7.5001e+07,1.7,17306,1.3064e-11,0,1.4999e+06,-1.1359e-14,569.84,1,0.031,0.031,0.25,0
202.89,7.5001e+07,1.7,17306,1.4172e-11,0,1.4999e+06,-1.1194e-14,569.84,1,0.032,0.032,0.25,0
202.89,7.5001e+07,1.7,17306,1.5279e-11,0,1.4999e+06,-1.1029e-14,569.84,1,0.033,0.033,0.25,0
202.89,7.5001e+07,1.7,17306,1.6387e-11,0,1.4999e+06,-1.0864e-14,569.84,1,0.034,0.034,0.25,0
202.89,7.5001e+07,1.7,17306,1.7494e-11,0,1.4999e+06,-1.0699e-14,569.84,1,0.035,0.035,0.25,0
